customer_age,annual_income,spending_score,purchase_frequency,website_visits,time_on_app,discount_usage,days_since_last_purchase,loyalty_points,social_media_engagement,preferred_payment_mode,city_tier
31,98758.61,51,9,44,21.56,36.77,18,5353,1.03,UPI,Tier2
67,89692.23,77,5,14,52.1,72.64,81,4300,3.96,UPI,Tier2
26,54885.18,73,10,12,,23.78,75,6311,7.31,Credit Card,Tier1
43,76954.6,35,15,66,65.58,2.28,41,9429,8.84,Credit Card,Tier1
19,65069.25,34,8,72,52.07,20.12,1,496,4.22,Credit Card,Tier1
37,92059.79,16,12,64,46.69,40.19,25,6679,3.19,Debit Card,Tier3
45,86619.03,82,8,77,58.09,86.09,109,315,2.47,Debit Card,Tier3
64,34198.44,18,8,42,28.53,73.45,47,6873,5.37,Debit Card,Tier1
24,77919.77,38,7,61,13.31,63.64,52,6368,5.02,UPI,Tier3
61,60476.19,43,6,55,61.17,34.24,15,5982,5.47,Cash,Tier3
25,66822.32,32,10,60,51.81,69.27,35,2029,3.37,UPI,Tier3
64,,7,4,67,76.9,57.8,76,1438,5.23,Cash,Tier2
52,103459.02,87,7,29,43.04,69.54,105,6093,4.16,Debit Card,Tier2
31,87881.36,87,7,64,27.16,99.85,22,4073,9.86,UPI,Tier2
34,48725.03,46,12,69,22.1,79.96,48,1229,2.7,Cash,Tier3
53,35638.57,61,9,45,37.39,45.68,87,8853,2.08,UPI,Tier3
67,56515.2,18,7,68,52.52,96.25,64,2160,8.31,Debit Card,Tier2
57,74559.06,71,8,15,59.9,20.13,45,7256,7.95,Cash,Tier1
21,70284.53,40,5,48,58.87,63.39,66,4659,8.36,Debit Card,Tier3
19,92568.92,88,14,54,61.0,32.9,51,6973,5.47,UPI,Tier2
23,82378.23,78,10,48,49.02,10.13,48,5373,2.97,Cash,Tier3
59,86330.52,50,6,52,38.64,97.61,45,9826,9.15,Debit Card,Tier2
21,72190.82,5,14,35,43.31,49.56,63,6371,8.14,Credit Card,Tier3
46,34435.43,54,7,37,62.94,41.78,108,6693,7.71,Cash,Tier3
35,60694.63,86,6,25,39.49,14.72,69,7052,1.32,Credit Card,Tier3
43,,58,12,65,62.64,,35,290,5.37,Credit Card,Tier2
61,63866.5,22,2,11,57.78,22.07,115,2924,4.06,Credit Card,Tier3
51,76067.99,74,6,32,62.15,43.65,92,6345,4.1,Cash,Tier3
27,57987.54,90,11,33,45.92,47.0,1,6821,2.13,Debit Card,Tier1
53,42344.14,79,8,54,59.98,17.09,17,6202,8.95,Debit Card,Tier1
31,62286.43,38,6,6,36.56,78.13,22,8547,3.18,UPI,Tier1
48,71799.04,49,10,15,32.31,81.59,112,833,1.44,UPI,Tier3
65,50574.87,1,9,7,10.9,95.99,2,8402,5.13,Debit Card,Tier1
32,59814.35,78,12,14,14.01,50.13,55,3561,5.89,UPI,Tier1
25,44331.81,36,4,28,43.68,39.64,65,9894,4.21,UPI,Tier2
31,89623.39,95,11,78,45.42,35.92,101,1571,4.31,Credit Card,Tier3
40,58521.97,28,10,27,84.67,94.23,29,2017,4.54,Debit Card,Tier1
57,96960.62,98,5,49,36.59,75.89,80,6305,7.16,Debit Card,Tier3
38,98632.45,35,7,71,65.07,51.51,47,8778,3.31,Credit Card,Tier2
33,63216.99,60,14,70,57.23,72.42,88,6705,9.46,Debit Card,Tier3
62,42814.13,62,11,25,61.69,44.11,109,2609,4.43,UPI,Tier1
35,19110.25,87,8,76,57.28,77.06,57,5938,4.78,Credit Card,Tier2
64,32615.18,46,7,52,24.79,92.93,51,9042,2.33,Debit Card,Tier1
41,34775.63,83,10,21,41.15,21.53,34,465,5.18,Credit Card,Tier1
43,95326.33,82,7,21,58.84,36.88,44,3772,7.27,Debit Card,Tier1
42,67548.14,79,9,60,43.78,64.9,111,6025,4.05,Credit Card,Tier2
62,73571.3,61,4,74,39.94,52.07,71,2761,2.73,Debit Card,Tier2
58,16150.74,65,9,62,40.38,48.57,115,309,7.91,Credit Card,Tier1
46,38644.74,89,13,76,63.02,83.82,115,5200,6.35,Credit Card,Tier3
32,84515.76,26,9,58,24.96,,18,7057,5.4,Cash,Tier3
62,71309.03,35,6,56,21.57,52.46,75,4266,4.47,Debit Card,Tier3
18,61761.48,57,7,48,56.45,24.58,23,6225,3.57,Credit Card,Tier3
42,77426.53,79,6,30,44.26,,44,7055,2.04,Cash,Tier2
24,100987.55,63,8,69,45.85,43.83,77,8233,3.39,UPI,Tier1
26,60137.07,4,12,73,80.46,92.09,78,1553,3.47,Credit Card,Tier1
41,66526.14,79,7,23,53.61,0.3,18,1502,4.02,Cash,Tier1
18,69237.13,42,5,17,42.66,56.81,2,4819,3.45,UPI,Tier2
61,117626.41,45,11,61,49.81,61.58,45,9486,1.21,Credit Card,Tier1
25,18814.16,39,11,37,45.27,13.76,112,9114,3.65,Debit Card,Tier1
41,80030.91,65,8,59,53.69,50.64,2,429,1.08,Debit Card,Tier2
28,62474.35,22,6,26,46.42,11.58,68,8924,7.63,Credit Card,Tier2
68,77468.98,11,7,72,26.54,39.98,81,7785,2.71,Debit Card,Tier1
34,50537.8,37,10,30,,67.69,78,9994,2.08,Cash,Tier1
25,63922.77,90,3,42,61.84,68.26,22,494,6.69,UPI,Tier3
52,80651.03,51,11,7,51.58,47.97,80,3909,9.54,Debit Card,Tier2
52,133484.02,91,5,48,66.65,82.81,63,8069,9.3,Cash,Tier2
50,82776.8,58,10,69,10.7,,73,9815,5.95,Cash,Tier1
22,46342.56,77,9,32,56.79,60.14,79,9430,4.12,UPI,Tier1
59,55677.29,7,8,18,29.52,17.5,97,3784,2.98,Credit Card,Tier3
56,55024.89,8,6,50,66.88,,3,4043,4.45,Cash,Tier2
58,25495.85,51,8,29,30.13,4.89,4,8956,1.4,Debit Card,Tier3
45,57738.02,23,6,18,,25.74,35,3455,6.27,Debit Card,Tier1
24,81122.24,90,7,66,53.36,20.54,97,916,9.16,Debit Card,Tier3
26,36966.89,91,6,50,65.78,37.4,42,4218,6.99,UPI,Tier1
25,88066.62,9,11,13,57.97,47.23,10,547,6.57,Debit Card,Tier3
29,75731.05,46,13,55,30.34,22.76,60,9363,3.56,UPI,Tier2
51,48846.87,38,5,10,29.03,5.97,114,3710,4.99,Debit Card,Tier3
50,,13,7,7,35.86,34.77,11,2709,9.58,Debit Card,Tier2
65,100163.08,7,14,42,53.2,,79,5932,7.67,Credit Card,Tier2
40,81138.05,11,6,45,45.67,13.71,36,4832,1.57,Cash,Tier3
41,65193.24,74,14,7,78.28,80.75,111,4574,2.69,Credit Card,Tier1
54,59770.97,97,5,49,43.93,41.58,18,7993,4.93,Cash,Tier2
52,66685.4,50,12,32,31.31,34.67,18,2250,8.56,UPI,Tier3
61,53741.2,67,9,61,32.44,6.49,28,8625,9.19,UPI,Tier2
57,18695.51,41,9,60,45.34,39.59,9,2593,3.96,Debit Card,Tier1
39,109927.91,29,4,40,59.85,55.89,31,7658,2.58,Debit Card,Tier2
44,68417.15,37,11,69,32.38,32.96,114,8899,2.12,Cash,Tier2
52,73759.24,56,5,63,42.8,56.37,114,7243,1.74,Debit Card,Tier2
18,63726.03,80,8,5,40.0,99.89,81,3882,2.44,UPI,Tier2
52,48827.43,16,12,68,50.43,41.25,85,4303,1.9,Cash,Tier1
54,60909.66,44,13,71,11.78,,50,4334,5.48,Cash,Tier2
64,29813.32,50,6,18,44.81,18.42,81,5406,7.83,Cash,Tier3
31,115095.9,71,6,32,51.73,68.89,66,8971,3.69,UPI,Tier3
20,37840.74,79,10,11,62.89,1.12,115,1936,5.63,Debit Card,Tier3
18,42296.74,6,8,56,21.17,18.36,113,1320,8.91,Cash,Tier3
22,55314.3,18,1,50,45.89,,11,6089,9.28,Credit Card,Tier2
43,93337.67,19,16,55,70.66,75.11,23,9765,4.16,Debit Card,Tier2
31,65319.2,51,10,56,59.97,72.88,84,5475,7.59,Debit Card,Tier2
56,37805.01,66,4,50,47.43,88.27,112,7999,1.64,Debit Card,Tier3
44,92595.44,3,7,12,54.44,96.69,100,3929,6.16,Cash,Tier1
26,81082.01,89,11,54,41.08,19.41,83,8231,6.32,Credit Card,Tier3
32,76845.57,54,8,57,61.42,95.03,76,964,5.91,Cash,Tier1
32,80746.15,49,2,47,,24.18,4,3453,2.49,Cash,Tier3
43,117675.96,28,8,77,46.06,61.94,83,9590,7.0,UPI,Tier3
59,113072.09,38,8,37,48.78,16.17,86,1088,3.08,UPI,Tier1
30,49892.26,28,6,35,47.21,2.17,16,5166,9.25,UPI,Tier2
68,100725.47,32,10,42,40.01,31.55,12,3314,1.8,UPI,Tier3
49,73429.7,41,10,34,,22.21,99,208,7.08,Cash,Tier2
56,75980.11,36,8,44,57.32,34.17,44,190,4.51,Credit Card,Tier2
66,27770.04,36,6,69,37.28,27.89,43,2087,3.97,Credit Card,Tier3
69,61251.51,87,16,40,41.88,11.55,40,815,3.74,Credit Card,Tier3
49,47117.88,66,8,66,44.32,20.87,83,3624,4.34,Cash,Tier1
21,83217.29,10,7,49,35.86,8.78,46,6346,3.09,Credit Card,Tier2
47,88563.77,70,10,28,40.24,53.03,98,6978,8.59,UPI,Tier1
54,19361.3,72,6,28,33.31,82.77,41,1027,6.65,UPI,Tier3
40,64515.23,79,14,57,61.5,57.24,50,3483,7.65,UPI,Tier3
56,89680.95,93,10,40,27.93,32.47,97,9724,3.09,Debit Card,Tier2
62,60893.06,63,11,35,66.61,84.64,7,665,2.89,Debit Card,Tier3
32,81039.4,92,9,51,70.5,15.34,96,8432,4.85,Cash,Tier2
60,72725.64,22,11,11,72.57,82.61,103,9361,7.37,UPI,Tier3
46,72516.53,98,10,55,24.53,61.69,43,9613,9.75,UPI,Tier3
53,59031.07,20,4,32,51.94,20.05,66,5339,4.31,UPI,Tier2
30,38235.22,33,9,69,29.0,20.8,18,8827,8.76,Cash,Tier2
49,40326.34,15,11,29,35.32,5.88,14,2718,9.38,Cash,Tier1
24,80605.76,7,8,13,45.63,88.56,4,8190,1.06,Debit Card,Tier1
68,65428.08,88,13,41,42.89,75.14,18,7733,7.43,Cash,Tier1
39,61952.73,90,6,41,48.92,93.24,83,9707,4.85,UPI,Tier3
45,55674.42,50,17,22,70.91,22.64,56,6770,6.31,UPI,Tier1
19,58285.85,10,6,64,,,34,3588,5.76,Debit Card,Tier2
59,88032.06,79,10,35,21.71,49.47,79,2837,8.79,Debit Card,Tier3
62,57624.63,37,4,31,49.55,31.52,12,5707,2.68,Cash,Tier2
23,35496.58,59,9,22,47.19,,107,4284,7.2,UPI,Tier3
45,81360.34,88,8,75,54.37,46.39,84,1955,3.26,Credit Card,Tier2
45,60492.71,75,7,40,30.1,79.28,91,4760,8.51,Cash,Tier3
61,65690.71,63,6,22,,71.7,87,5780,8.86,UPI,Tier3
61,100366.72,21,7,75,67.3,77.94,93,5930,2.93,Credit Card,Tier1
37,64547.67,79,12,42,43.01,22.68,26,1012,4.2,Cash,Tier2
47,71362.04,79,7,51,31.57,4.14,66,6300,5.79,UPI,Tier2
28,39063.68,37,12,69,26.6,87.79,3,4653,1.6,UPI,Tier3
45,60167.27,45,6,40,52.87,37.34,85,9002,5.55,Debit Card,Tier1
42,78409.57,14,10,50,52.96,33.47,37,5242,6.39,UPI,Tier2
56,30781.78,43,4,49,23.87,73.84,55,5209,9.19,Credit Card,Tier2
50,69418.59,85,5,11,30.37,12.13,19,7190,4.29,Debit Card,Tier1
18,67217.4,84,9,9,54.58,,36,3109,3.16,UPI,Tier2
44,65908.32,33,6,72,22.98,45.87,56,1131,5.78,Debit Card,Tier3
69,87817.5,3,5,25,73.99,98.73,50,9819,8.35,Debit Card,Tier2
30,72357.65,87,7,53,34.25,77.0,93,7380,6.12,Credit Card,Tier2
58,97517.58,44,6,44,60.04,,109,9009,8.78,Debit Card,Tier1
20,172564.12,87,30,46,50.31,82.09,66,2192,2.62,Credit Card,Tier2
56,67990.34,91,8,76,31.23,28.6,14,1004,8.84,Cash,Tier1
23,66858.27,35,10,35,40.46,17.31,87,1041,6.04,Debit Card,Tier3
25,41476.4,25,10,28,43.47,94.06,50,152,3.55,Debit Card,Tier3
44,86038.49,96,9,29,47.39,6.17,51,1410,1.82,Credit Card,Tier3
26,116142.81,86,12,56,51.15,56.93,65,614,1.69,Debit Card,Tier1
54,64625.87,8,6,39,47.7,33.61,3,209,7.07,Cash,Tier3
50,76110.46,62,5,72,44.96,72.31,51,2429,9.54,Credit Card,Tier2
68,66859.41,18,15,73,58.35,25.48,16,7426,7.52,Credit Card,Tier3
59,49301.14,92,3,73,40.49,,99,2073,7.65,UPI,Tier3
61,24943.27,28,4,20,30.14,44.27,33,8064,2.8,UPI,Tier1
41,49472.98,75,11,46,58.09,51.28,105,8516,3.82,Credit Card,Tier2
32,34376.92,12,9,57,54.11,77.0,103,5587,8.2,UPI,Tier1
49,102490.25,64,10,50,58.58,63.49,101,3703,5.51,Debit Card,Tier2
49,62467.59,2,12,46,46.72,70.75,82,4512,1.22,Debit Card,Tier1
41,57389.77,59,7,22,24.18,60.48,92,4051,3.36,Debit Card,Tier1
58,84561.38,37,10,21,48.69,90.14,44,3147,8.92,Cash,Tier1
69,40321.48,4,13,8,42.24,24.77,89,6582,8.36,Debit Card,Tier3
66,48128.99,41,7,37,28.64,27.74,61,4938,2.67,Cash,Tier1
66,66497.59,45,7,75,55.31,80.53,90,6100,3.22,Debit Card,Tier3
69,87632.92,34,11,31,47.46,5.67,104,8967,9.49,UPI,Tier3
29,76037.07,87,5,32,56.15,31.42,50,8434,4.63,UPI,Tier2
56,70463.15,13,15,79,43.91,91.9,42,1669,2.26,Debit Card,Tier3
19,66718.59,7,8,54,58.23,33.77,88,5167,5.51,UPI,Tier1
20,73805.19,32,4,54,52.58,93.09,94,5658,5.24,UPI,Tier2
66,69436.36,23,16,18,52.49,84.09,34,6816,9.76,Credit Card,Tier1
54,42340.61,49,11,33,32.54,82.75,56,7647,6.81,Credit Card,Tier3
66,66013.74,72,10,55,72.76,10.7,96,6667,5.09,Credit Card,Tier3
34,41378.85,47,4,70,,2.57,47,8781,4.33,Credit Card,Tier3
66,66783.82,37,6,26,22.8,85.59,19,880,6.53,Credit Card,Tier1
19,54425.75,98,8,19,53.92,70.99,107,3525,5.79,Cash,Tier3
19,120866.4,48,4,55,41.82,37.57,66,9061,7.02,Credit Card,Tier3
45,64122.32,29,11,24,59.6,33.63,37,4194,5.94,UPI,Tier3
40,34106.73,37,12,59,48.36,7.48,14,1618,9.18,Cash,Tier2
54,,23,3,48,47.04,54.2,9,3358,1.04,Cash,Tier3
49,76425.89,38,8,70,38.07,51.57,93,2242,6.04,UPI,Tier2
50,101814.01,93,10,41,26.44,63.34,19,5533,8.14,UPI,Tier3
18,52032.05,44,8,33,46.14,75.77,82,9276,1.81,Credit Card,Tier1
36,30186.58,5,3,33,37.31,33.89,43,6004,1.84,Debit Card,Tier3
19,82970.41,52,7,45,38.74,50.48,39,3709,1.85,UPI,Tier2
61,34626.83,40,9,16,55.16,40.08,54,2133,9.48,Debit Card,Tier1
43,55404.58,11,14,49,77.95,3.95,50,699,8.61,Debit Card,Tier1
49,59332.35,78,9,55,78.11,22.88,44,1423,1.98,Debit Card,Tier3
23,63468.06,2,15,15,61.06,84.83,46,1195,6.86,Debit Card,Tier2
49,80161.62,35,9,71,57.13,,93,5500,6.24,Cash,Tier3
21,49960.05,45,8,61,54.85,61.61,84,5485,2.21,Cash,Tier1
28,58977.96,49,5,41,39.07,66.91,46,724,5.75,Cash,Tier1
34,64686.05,35,7,46,28.52,89.46,81,2850,1.36,UPI,Tier2
55,,92,9,27,56.7,44.3,38,8251,1.05,Credit Card,Tier3
41,67152.2,72,9,66,36.39,91.34,113,4414,3.6,UPI,Tier3
22,74592.13,32,10,49,,99.25,25,6616,9.27,Debit Card,Tier2
69,83564.47,68,3,37,40.5,73.06,43,1033,6.05,Credit Card,Tier2
51,73637.95,71,5,13,37.72,78.2,7,3146,1.28,UPI,Tier1
23,74978.88,39,10,39,70.94,95.73,108,8406,1.31,UPI,Tier1
39,30191.09,48,16,39,59.69,54.09,113,1164,2.08,Credit Card,Tier1
28,66105.01,91,7,51,55.5,50.75,32,1036,3.44,Debit Card,Tier1
65,302196.68,37,40,68,,0.71,56,3666,2.38,Credit Card,Tier2
33,81036.71,60,10,57,42.08,25.14,78,9959,3.02,Credit Card,Tier2
50,49768.28,81,2,29,51.78,56.13,36,9891,2.42,Debit Card,Tier1
26,50501.14,74,11,43,6.32,96.88,11,7212,7.99,Debit Card,Tier2
23,52369.79,4,13,12,40.93,39.24,106,5797,4.64,Cash,Tier2
33,76801.11,23,7,58,32.64,89.6,33,7659,7.06,Credit Card,Tier2
46,87745.38,14,4,15,60.66,18.85,50,5202,3.76,Cash,Tier3
20,56035.88,5,6,43,50.74,48.68,16,7618,5.05,Cash,Tier2
37,84975.17,66,10,47,32.72,33.09,67,6931,6.48,Cash,Tier1
53,67716.56,24,9,58,54.35,69.54,91,5329,1.61,Debit Card,Tier2
36,62265.71,18,10,11,65.56,83.02,42,2002,3.27,Cash,Tier2
43,60349.55,27,7,54,14.42,0.36,111,2854,9.67,Credit Card,Tier1
20,81425.45,24,9,79,,3.87,10,2431,8.7,Debit Card,Tier3
36,72162.71,29,6,62,35.84,57.12,7,4227,9.36,Debit Card,Tier2
37,115068.16,11,8,48,59.83,53.03,58,6031,1.36,Cash,Tier1
49,46251.06,18,5,33,52.07,57.67,47,2455,6.08,Debit Card,Tier2
24,76398.24,4,11,68,76.83,9.4,60,8864,3.5,Credit Card,Tier1
69,53357.58,33,8,46,55.36,35.77,20,8013,8.6,UPI,Tier2
58,,78,9,5,58.72,1.39,5,703,6.37,UPI,Tier3
50,64760.92,42,5,53,64.43,94.02,84,2895,2.71,Credit Card,Tier3
57,68021.75,32,7,64,37.9,30.56,62,2913,1.62,Cash,Tier2
56,129199.82,51,11,51,65.32,10.87,74,3918,7.32,Debit Card,Tier2
35,243795.16,4,40,20,26.12,67.71,69,8520,9.37,Credit Card,Tier2
57,40136.07,20,8,52,,14.0,38,6057,3.88,Cash,Tier1
18,71006.24,85,7,71,29.64,4.12,4,6234,4.9,Cash,Tier3
28,19357.92,67,15,37,59.56,29.66,56,1634,7.6,Cash,Tier3
45,62976.95,89,14,47,40.11,91.68,17,1731,6.32,Credit Card,Tier2
42,65352.56,68,13,7,42.98,67.66,42,8701,6.57,Cash,Tier3
67,82481.21,62,8,7,37.06,0.54,93,4869,3.38,Debit Card,Tier2
40,86419.69,58,11,69,67.06,94.34,97,2910,1.95,Cash,Tier2
48,53921.47,47,9,12,49.41,89.04,60,6118,5.25,Debit Card,Tier2
47,61686.49,75,11,36,26.01,18.11,26,4709,5.98,Cash,Tier3
59,48145.34,80,8,64,68.56,50.82,117,6032,7.93,UPI,Tier1
52,40182.62,59,6,24,58.13,93.2,114,4959,1.71,Credit Card,Tier1
24,71817.69,6,6,66,38.19,65.89,81,6732,2.7,UPI,Tier1
33,36981.12,95,16,78,,0.75,109,5432,3.04,Credit Card,Tier1
43,55878.21,40,5,23,35.32,15.55,110,1357,5.91,UPI,Tier2
65,43106.17,77,7,64,48.56,0.83,46,170,4.71,Cash,Tier1
69,77093.03,23,7,75,49.72,73.23,30,6682,7.35,UPI,Tier1
66,104631.46,52,11,55,,70.16,5,1820,8.75,Credit Card,Tier3
19,36365.06,4,7,9,49.1,35.42,73,6134,6.6,Cash,Tier2
18,24233.59,37,10,62,-1.68,18.49,16,837,8.84,Credit Card,Tier1
65,62252.49,42,5,55,38.68,99.92,62,4606,6.92,Debit Card,Tier1
29,65345.35,44,14,61,26.77,55.9,40,7733,6.3,Credit Card,Tier1
22,69810.5,97,5,55,59.92,47.18,102,4064,5.85,Credit Card,Tier1
54,55180.95,42,4,24,,80.1,22,8044,5.52,UPI,Tier1
49,60585.94,29,8,34,18.8,59.07,13,3441,2.53,Credit Card,Tier3
26,73085.23,19,15,64,36.94,15.61,104,9177,5.44,Cash,Tier1
58,87889.48,84,8,20,43.09,23.31,2,6731,7.99,UPI,Tier1
52,21988.93,32,11,48,46.93,82.69,62,9832,5.92,Debit Card,Tier3
36,56883.33,44,8,30,83.36,49.03,53,6253,4.85,Cash,Tier1
65,69703.79,55,4,6,,17.57,13,9454,9.46,Cash,Tier1
33,44804.53,80,7,62,48.7,95.58,60,293,1.18,UPI,Tier3
20,103085.73,5,5,41,27.66,79.73,85,2000,2.14,Cash,Tier2
37,,46,11,9,46.57,81.97,49,9433,9.06,UPI,Tier2
41,,76,9,66,38.95,,39,9720,2.07,Cash,Tier3
50,77232.49,45,10,32,7.47,32.54,86,4012,6.01,Cash,Tier3
41,51991.73,21,6,58,58.06,21.57,42,3667,9.28,UPI,Tier3
69,24375.39,78,13,79,43.19,18.96,89,7629,7.17,Credit Card,Tier2
28,55569.6,22,11,50,56.78,69.69,119,8704,4.97,Cash,Tier2
66,87647.69,30,3,26,,23.65,53,4443,1.73,Cash,Tier1
25,57588.31,23,14,17,36.08,54.49,3,8693,2.84,Credit Card,Tier2
53,46378.45,5,9,48,29.34,,115,5873,7.35,UPI,Tier3
55,85364.79,63,8,70,34.57,2.7,88,8670,7.23,Credit Card,Tier3
57,57722.95,93,10,23,40.26,12.43,18,1953,6.27,Credit Card,Tier1
37,53776.46,59,3,72,26.65,42.49,91,8096,5.7,Debit Card,Tier1
52,68288.03,94,8,70,47.45,93.25,37,2389,3.61,UPI,Tier3
65,81956.5,82,5,32,36.79,47.33,103,367,6.78,Cash,Tier2
42,117397.7,52,8,72,23.86,49.93,36,5007,9.53,Credit Card,Tier1
52,83199.19,65,10,45,42.98,4.93,48,8838,6.9,Debit Card,Tier1
42,90516.48,39,1,16,45.22,56.6,90,313,8.94,Debit Card,Tier2
46,,81,6,75,43.53,99.91,113,5764,7.44,Credit Card,Tier2
35,42430.9,3,10,35,89.39,65.13,31,9742,7.77,Credit Card,Tier3
63,66371.29,42,7,34,28.61,96.17,80,7289,2.17,Debit Card,Tier2
35,67357.74,71,8,48,43.54,92.62,74,4649,1.87,Cash,Tier3
19,41272.72,27,7,55,55.94,83.45,1,4129,3.85,Cash,Tier1
52,61143.52,28,11,40,49.79,21.49,57,209,4.39,Cash,Tier3
33,73784.99,54,9,21,,46.82,73,7766,6.74,Debit Card,Tier1
58,72928.65,95,4,63,32.25,58.97,59,2126,4.58,UPI,Tier3
53,76094.33,15,9,58,27.91,68.33,37,4138,3.86,Cash,Tier2
50,71401.22,53,5,54,59.23,56.0,14,2892,9.95,UPI,Tier3
21,53845.81,72,11,72,35.96,57.64,93,3975,6.33,UPI,Tier2
50,53694.19,70,6,62,49.34,24.19,2,2896,1.57,Credit Card,Tier2
31,38623.07,92,11,76,39.16,18.24,3,7198,1.18,Credit Card,Tier1
38,104265.05,4,10,61,81.01,20.64,50,4461,7.61,Cash,Tier2
65,65295.91,94,5,20,51.72,28.55,27,3419,5.16,Credit Card,Tier3
37,60053.23,17,3,40,,21.67,6,2675,9.05,Credit Card,Tier3
25,44566.57,34,7,5,39.37,34.57,37,7176,7.7,Credit Card,Tier2
24,129584.47,6,9,61,77.04,62.97,93,3049,8.14,Credit Card,Tier3
20,41386.78,36,9,51,32.25,,109,3030,2.94,UPI,Tier3
34,55565.35,99,8,66,,47.63,13,955,4.12,Debit Card,Tier1
50,74148.41,39,5,47,34.13,19.07,16,8845,7.12,Debit Card,Tier3
65,78204.69,80,12,68,45.42,63.53,53,4533,8.59,Debit Card,Tier3
29,86074.51,66,8,46,33.73,88.56,112,890,8.29,UPI,Tier2
68,104767.39,8,10,41,52.58,72.93,1,5401,4.03,Cash,Tier3
39,76135.47,15,8,27,87.16,9.12,88,4885,6.33,Debit Card,Tier1
39,41767.32,63,14,55,27.55,,43,7798,1.03,Credit Card,Tier2
